Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
231610,The World As I See It,Albert Einstein,"Einstein, Albert",Neil Berger,"=""1599869659""","=""9781599869650""",0,3.77,"Filiquarian Publishing, LLC.",Paperback,128,2006,1934,,2023/06/03,,,read,,,,1,0
165580,I Can't Accept Not Trying: Michael Jordan on the Pursuit of Excellence,Michael Jordan,"Jordan, Michael","Mark Vancil, Sandro Miller","=""0062511904""","=""9780062511904""",0,4.17,Harper San Francisco,Hardcover,36,1994,1994,,2023/06/03,,,read,,,,1,0
18160,The Art of Deception: Controlling the Human Element of Security,Kevin D. Mitnick,"Mitnick, Kevin D.","William   L.    Simon, Steve Wozniak","=""076454280X""","=""9780764542800""",0,3.76,Wiley,Paperback,352,2003,2001,,2023/06/03,,,read,,,,1,0
7833811,Os Passageiros do Futuro (Coleção Vaga-Lume #36),Wilson Rocha,"Rocha, Wilson",,"=""8508028504""","=""""",0,3.50,Ática,Paperback,128,1987,1987,,2023/06/03,,,read,,,,1,0
7479535,"Xisto e o Pássaro Cósmico (Coleção Vaga-Lume, #21)",Lúcia Machado de Almeida,"Almeida, Lúcia Machado de",,"=""8508001169""","=""""",0,3.33,Ática,Paperback,80,1983,1983,,2023/06/03,,,read,,,,1,0
6533810,"Xisto no Espaço (Coleção Vaga-Lume, #18)",Lúcia Machado de Almeida,"Almeida, Lúcia Machado de",,"=""8508001177""","=""""",0,3.60,Ática,Paperback,112,1982,1982,,2023/06/03,,,read,,,,1,0
6605758,Garra de Campeão (Coleção Vaga-Lume #40),Marcos Rey,"Rey, Marcos",,"=""8508029756""","=""9788508029754""",0,3.45,Ática,Paperback,108,1988,1988,,2023/06/03,,,read,,,,1,0
7133167,Bem-Vindos ao Rio (Coleção Vaga-Lume #31),Marcos Rey,"Rey, Marcos",,"=""8508028067""","=""""",0,3.49,Ática,Paperback,126,1988,1986,,2023/06/03,,,read,,,,1,0
6528676,A Turma da Rua Quinze (Coleção Vaga-Lume #44),Marçal Aquino,"Aquino, Marçal",,"=""8508033710""","=""""",0,3.79,Ática,Paperback,112,1989,1989,,2023/06/03,,,read,,,,1,0
6648588,"O Rapto do Garoto de Ouro (Coleção Vaga-Lume, #17)",Marcos Rey,"Rey, Marcos",,"=""8508001088""","=""9788508001088""",0,3.78,Ática,Paperback,128,1990,1982,,2023/06/03,,,read,,,,1,0
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",0,4.52,Tor Books,Hardcover,572,2008,2008,,2023/06/03,to-read,to-read (#53),to-read,,,,0,0
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",0,4.38,Tor Books,Hardcover,592,2007,2007,,2023/06/03,to-read,to-read (#52),to-read,,,,0,0
8698,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,"Adams, Douglas",,"=""0330491237""","=""9780330491235""",0,4.09,Pan MacMillan,Paperback,167,2002,1984,,2023/06/03,,,read,,,,1,0
8694,"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,"Adams, Douglas",,"=""0345418905""","=""9780345418906""",0,4.18,Del Rey,Paperback,224,1997,1982,,2023/06/03,,,read,,,,1,0
8695,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,4.21,Del Rey,Paperback,250,2005,1980,,2023/06/03,,,read,,,,1,0
20980987,"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help",Amanda Palmer,"Palmer, Amanda",Brené Brown,"=""1455581089""","=""9781455581085""",0,3.93,Grand Central Publishing,Hardcover,339,2014,2014,,2023/06/03,to-read,to-read (#51),to-read,,,,0,0
27968891,Site Reliability Engineering: How Google Runs Production Systems,Betsy Beyer,"Beyer, Betsy","Chris     Jones, Jennifer Petoff, Niall Richard Murphy","=""149192912X""","=""9781491929124""",0,4.23,O'Reilly Media,Paperback,550,2016,2016,,2023/06/03,to-read,to-read (#50),to-read,,,,0,0
10210821,"Management 3.0: Leading Agile Developers, Developing Agile Leaders",Jurgen Appelo,"Appelo, Jurgen",,"=""0321718992""","=""9780321718990""",0,4.15,Addison-Wesley Professional,ebook,451,2010,2010,,2023/06/03,,,read,,,,1,0
9364936,"Gamestorming: A Playbook for Innovators, Rule-breakers, and Changemakers",Dave  Gray,"Gray, Dave","Sunni Brown, James Macanufo","=""""","=""""",0,3.95,O'Reilly Media,Kindle Edition,290,2010,2010,,2023/06/03,to-read,to-read (#49),to-read,,,,0,0
723074,The Myths of Innovation,Scott Berkun,"Berkun, Scott",,"=""0596527055""","=""9780596527051""",0,3.86,O'Reilly Media,Hardcover,192,2007,2007,,2023/06/03,to-read,to-read (#48),to-read,,,,0,0
15756865,Implementing Domain-Driven Design,Vaughn Vernon,"Vernon, Vaughn",,"=""""","=""""",0,4.06,Addison-Wesley Professional,Hardcover,656,2013,2013,,2023/06/03,,,read,,,,1,0
179133,Domain-Driven Design: Tackling Complexity in the Heart of Software,Eric Evans,"Evans, Eric",,"=""0321125215""","=""9780321125217""",0,4.15,Addison-Wesley Professional,Hardcover,560,2003,2003,,2023/06/03,,,read,,,,1,0
22521573,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,"Allen, David",,"=""0143126563""","=""9780143126560""",0,4.00,Penguin USA/PenguinPutnam Inc,Paperback,352,2015,2001,,2023/06/03,,,read,,,,1,0
30228538,The Da Vinci Code (the Young Adult Adaptation),Dan Brown,"Brown, Dan",,"=""""","=""""",0,4.52,Delacorte Press,Hardcover,460,2016,2006,,2023/06/03,,,read,,,,1,0
6411961,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,"Brown, Dan",,"=""0385504225""","=""9780385504225""",0,3.74,Doubleday,Hardcover,509,2009,2009,,2023/06/03,,,read,,,,1,0
11125,Digital Fortress,Dan Brown,"Brown, Dan",,"=""""","=""""",0,3.69,Corgi books,Paperback,510,2004,1998,,2023/06/03,,,read,,,,1,0
976,Deception Point,Dan Brown,"Brown, Dan",,"=""0671027387""","=""9780671027384""",0,3.74,Pocket Books,Mass Market Paperback,556,2002,2001,,2023/06/03,,,read,,,,1,0
960,"Angels & Demons (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",0,3.93,Pocket Books,Mass Market Paperback,736,2006,2000,,2023/06/03,,,read,,,,1,0
32495817,Lagarta Vira Pupa: A vida e os aprendizados ao lado de um lindo garotinho autista,Andréa  Werner,"Werner, Andréa","Kelly Vaneli, Fausta Cristina Reis","=""""","=""""",0,4.50,Andréa Werner,Kindle Edition,176,2016,,,2023/06/03,,,read,,,,1,0
6266497,"Runner's World the Runner's Body: How the Latest Exercise Science Can Help You Run Stronger, Longer, and Faster",Ross Tucker,"Tucker, Ross","Jonathan Dugas, Matt Fitzgerald","=""1605298611""","=""9781605298610""",0,3.90,Rodale Books,Paperback,288,2009,2009,,2023/06/03,,,read,,,,1,0
2587,The Art of War - Sun Tzu's Classic in Plain English With Sun Pin's : The Art of Warfare,Sun Tzu,"Tzu, Sun","Sun Pin, D.E. Tarver","=""0595224725""","=""9780595224722""",0,4.24,iUniverse Star,Paperback,157,2002,2002,,2023/06/03,,,read,,,,1,0
43284992,Proteção de Dados Pessoais: Comentários à Lei n. 13.709/2018 (LGPD),Patricia Peck Pinheiro,"Pinheiro, Patricia Peck",,"=""8553605280""","=""9788553605286""",0,3.08,Saraiva Educação,Paperback,118,2018,,,2023/06/03,,,read,,,,1,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Alberto Blecua, Roberto González Echevarría, Peter Anthony Motteux, John Rutherford, John Ozell, Cesco Vian, Alessandra Riccio, Tobias Smollett, Barbara Troiano, Giorgio Di Dio, Paola Cozzi","=""""","=""""",0,3.89,Penguin Books,Paperback,1023,2003,1605,,2023/06/03,,,read,,,,1,0
21032488,"The Doors of Stone (The Kingkiller Chronicle, #3)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0575081449""","=""9780575081444""",0,3.56,Gollancz,Hardcover,896,,,,2023/06/03,to-read,to-read (#47),to-read,,,,0,0
59351238,Vinte mil léguas submarinas,Julio Verne,"Verne, Julio",,"=""""","=""""",0,3.91,,Kindle Edition,,2020,,,2023/06/03,,,read,,,,1,0
61875056,The Great Gatsby,The Great Gatsby,"Gatsby, The Great",,"=""""","=""""",0,3.93,,Kindle Edition,,2022,,,2023/06/03,,,read,,,,1,0
132464,Totem and Taboo,Sigmund Freud,"Freud, Sigmund",James Strachey,"=""041525387X""","=""9780415253871""",0,3.85,Routledge,Paperback,224,2001,1913,,2023/06/03,,,read,,,,1,0
1026496,Memórias de um Sargento de Milícias,Manuel Antônio de Almeida,"Almeida, Manuel Antônio de",,"=""0850515041""","=""9780850515046""",0,3.46,Luso-Brazilian Books,Paperback,168,2005,1854,,2023/06/03,,,read,,,,1,0
87265,Quincas Borba,Machado de Assis,"Assis, Machado de","Celso Favaretto, Gregory Rabassa, David T. Haberly","=""0195106822""","=""9780195106824""",0,3.96,Oxford University Press,Paperback,320,1999,1891,,2023/06/03,,,read,,,,1,0
87264,Memórias Póstumas de Brás Cubas,Machado de Assis,"Assis, Machado de",,"=""0850515025""","=""9780850515022""",0,4.26,Luso-Brazilian Books,Paperback,176,2005,1881,,2023/06/03,,,read,,,,1,0
87263,O Alienista (Classicos Da Literatura Brasileira) (Portuguese Edition),Machado de Assis,"Assis, Machado de",,"=""0850515068""","=""9780850515060""",0,4.10,Luso-Brazilian Books,Paperback,56,2006,1882,,2023/06/03,,,read,,,,1,0
82888,Dom Casmurro,Machado de Assis,"Assis, Machado de",,"=""0850515033""","=""9780850515039""",0,4.32,Luso-Brazilian Books,Paperback,176,2005,1899,,2023/06/03,,,read,,,,1,0
8631081,"What Your Body Says (And How to Master the Message): Inspire, Influence, Build Trust, and Create Lasting Business Relationships",Sharon Sayler,"Sayler, Sharon",,"=""0470599162""","=""9780470599167""",0,3.26,Wiley,Hardcover,172,2010,2010,,2023/06/03,,,read,,,,1,0
6945716,Make: Electronics (Learning by Discovery),Charles Platt,"Platt, Charles",,"=""0596153740""","=""9780596153748""",0,4.27,"Make Community, LLC",Paperback,352,2010,2008,,2023/06/03,,,read,,,,1,0
34460583,Building a StoryBrand: Clarify Your Message So Customers Will Listen,Donald  Miller,"Miller, Donald",,"=""0718033329""","=""9780718033323""",0,4.28,HarperCollins Leadership,Hardcover,228,2017,2017,,2021/09/01,bought,bought (#1),read,,,,1,0
57858,Tao of Jeet Kune Do,Bruce Lee,"Lee, Bruce",,"=""0897500482""","=""9780897500487""",0,4.36,Ohara,Paperback,208,1975,1975,,2023/06/03,,,read,,,,1,0
10006486,Art: The Whole Story,Stephen Farthing,"Farthing, Stephen",Richard Cork,"=""050028895X""","=""9780500288955""",0,4.40,Thames & Hudson,Paperback,576,2010,2010,,2023/06/03,,,read,,,,1,0
106835,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett","=""0060555661""","=""9780060555665""",0,4.25,Harper Business,Paperback,623,2006,1949,,2023/06/03,,,read,,,,1,0
5507552,Emergency: This Book Will Save Your Life,Neil Strauss,"Strauss, Neil",,"=""0060898771""","=""9780060898779""",0,3.81,It Books,Paperback,432,2009,2009,,2023/06/03,,,read,,,,1,0
7214,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,"Miller, Donald",,"=""0785263705""","=""9780785263708""",0,3.90,Thomas Nelson,Paperback,243,2003,2003,,2023/06/03,,,read,,,,1,0
161884,Prayer and the Art of Volkswagen Maintenance,Donald Miller,"Miller, Donald",,"=""0007116233""","=""9780007116232""",0,3.94,Zondervan,Paperback,336,2001,2000,,2023/06/03,,,read,,,,1,0
22928874,Rise of the Robots: Technology and the Threat of a Jobless Future,Martin Ford,"Ford, Martin",,"=""0465059996""","=""9780465059997""",0,3.97,Basic Books,Hardcover,352,2015,2015,,2023/06/03,,,read,,,,1,0
18624377,A Filosofia Explica as Grandes Questões da Humanidade,Clóvis de Barros Filho,"Filho, Clóvis de Barros",Julio Pompeu,"=""8577343790""","=""9788577343799""",5,3.91,Casa da Palavra,Paperback,196,2013,2013,2023/06/01,2023/05/23,,,read,,,,1,0
10281070,"Redesigning Leadership (Simplicity: Design, Technology, Business, Life)",John Maeda,"Maeda, John",Rebecca J Bermont,"=""0262015889""","=""9780262015882""",0,3.78,The MIT Press,Hardcover,96,2011,2011,,2023/05/28,to-read,to-read (#46),to-read,,,,0,0
225111,"The Laws of Simplicity (Simplicity: Design, Technology, Business, Life)",John Maeda,"Maeda, John",,"=""0262134721""","=""9780262134729""",5,3.91,The MIT Press,Hardcover,128,2006,2006,,2023/05/28,,,read,,,,2,0
44595007,Indistractable: How to Control Your Attention and Choose Your Life,Nir   Eyal,"Eyal, Nir",Julie Li,"=""194883653X""","=""9781948836531""",5,3.75,BenBella Books,Hardcover,290,2019,2019,2023/04/27,2023/03/09,,,read,Olá pessoal! Tudo bem com vocês? ,,,1,0
25008661,The Rust Programming Language,Steve Klabnik,"Klabnik, Steve",,"=""""","=""""",0,4.46,Mozilla Research,ebook,347,,,,2023/05/27,currently-reading,currently-reading (#11),currently-reading,,,,1,0
30316048,Too Fast to Think: How to Reclaim Your Creativity in a Hyper-connected Work Culture,Chris Lewis,"Lewis, Chris",,"=""0749478861""","=""9780749478865""",0,3.40,Kogan Page,Paperback,232,2016,,,2023/05/23,to-read,to-read (#45),to-read,,,,0,0
37585503,The Leadership Lab: Understanding Leadership in the 21st Century (Kogan Page Inspire),Chris Lewis,"Lewis, Chris",Dr Pippa Malmgren,"=""0749483431""","=""9780749483432""",5,3.82,Kogan Page,Paperback,296,2018,,2023/05/23,2023/05/22,,,read,,,,1,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",0,4.19,Grand Central Publishing,Hardcover,296,2016,2016,,2023/05/22,to-read,to-read (#44),to-read,,,,0,0
58764796,"The Myth of Normal: Trauma, Illness and Healing in a Toxic Culture",Gabor Maté,"Maté, Gabor",Daniel Maté,"=""""","=""""",0,4.34,Avery,Kindle Edition,575,2022,2022,,2023/05/22,to-read,to-read (#43),to-read,,,,0,0
16902,Walden,Henry David Thoreau,"Thoreau, Henry David",Bill McKibben,"=""""","=""""",0,3.78,Princeton University Press,Paperback,352,2004,1854,,2023/05/22,currently-reading,currently-reading (#10),currently-reading,,,,1,0
39286958,Measure What Matters,John Doerr,"Doerr, John",,"=""""","=""""",0,3.99,Penguin,Kindle Edition,299,2018,2017,,2023/05/22,currently-reading,currently-reading (#9),currently-reading,,,,1,0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, John Bugg, Robert Heindel","=""""","=""""",5,3.88,Norton,Paperback,464,2002,1847,,2023/05/22,,,read,,,,1,0
40973862,Familia: Urgencias e Turbulencias,Mario Sergio Cortella,"Cortella, Mario Sergio",,"=""852492523X""","=""9788524925238""",5,4.00,CORTEZ,Paperback,,2017,2017,,2023/05/06,,,read,,,,1,0
43599070,The Courage to be Happy: True Contentment Is In Your Power,Ichiro Kishimi,"Kishimi, Ichiro",Fumitake Koga,"=""""","=""""",0,4.05,Allen & Unwin,Kindle Edition,,2019,2016,,2023/04/27,to-read,to-read (#42),to-read,,,,0,0
43306206,"The Courage to Be Disliked: How to Free Yourself, Change your Life and Achieve Real Happiness",Ichiro Kishimi,"Kishimi, Ichiro",Fumitake Koga,"=""""","=""""",0,4.05,Allen & Unwin,Paperback,288,2019,2013,,2023/04/27,currently-reading,currently-reading (#8),currently-reading,,,,1,0
52756428,The Socrates Express: In Search of Life Lessons from Dead Philosophers,Eric    Weiner,"Weiner, Eric",,"=""1501129015""","=""9781501129018""",0,4.11,Avid Reader Press / Simon  Schuster,Hardcover,352,2020,2020,,2023/04/27,currently-reading,currently-reading (#7),currently-reading,,,,1,0
22668729,Hooked: How to Build Habit-Forming Products,Nir   Eyal,"Eyal, Nir",Ryan Hoover,"=""1591847788""","=""9781591847786""",0,4.10,Portfolio,Hardcover,256,2014,2013,,2023/03/09,to-read,to-read (#41),to-read,,,,0,0
40955,They Call Me Coach,John Wooden,"Wooden, John",,"=""0071424911""","=""9780071424912""",0,4.19,McGraw Hill,Paperback,272,2003,1972,,2023/03/09,to-read,to-read (#40),to-read,,,,0,0
43537,Coach Wooden's Pyramid Of Success,John Wooden,"Wooden, John",Jay Carty,"=""0830736794""","=""9780830736799""",0,4.13,Baker Pub Group,Hardcover,163,2005,2004,,2023/03/09,currently-reading,currently-reading (#6),currently-reading,,,,1,0
25350,"Out of the Silent Planet (The Space Trilogy, #1)",C.S. Lewis,"Lewis, C.S.",,"=""0007157150""","=""9780007157150""",0,3.92,HarperCollins,Paperback,160,2005,1938,,2023/01/24,,,read,,,,1,0
44135420,Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew    Skelton,"Skelton, Matthew",Manuel Pais,"=""1942788827""","=""9781942788829""",5,4.23,It Revolution Press,ebook,240,2019,2019,2023/01/24,2021/09/16,,,read,,,,1,0
20330893,Fun Retrospectives,Paulo Caroli,"Caroli, Paulo",Tainã Caetano,"=""""","=""""",0,4.12,Leanpub,ebook,98,2013,2013,2023/01/24,2021/08/30,,,read,,,,1,0
53269151,Gestão Moderna de Produtos Digitais,Diego Eis,"Eis, Diego",,"=""""","=""""",0,4.27,Auto Published,ebook,380,2020,,2023/01/24,2021/11/07,,,read,,,,1,0
36448501,The Bitcoin Standard: The Decentralized Alternative to Central Banking,Saifedean Ammous,"Ammous, Saifedean",,"=""1119473861""","=""9781119473862""",0,4.16,Wiley,Hardcover,304,2018,2018,2023/01/24,2021/12/07,,,read,,,,1,0
665134,The (Mis)Behavior of Markets,Benoît B. Mandelbrot,"Mandelbrot, Benoît B.",Richard L. Hudson,"=""0465043550""","=""9780465043552""",0,4.08,Basic Books,Hardcover,352,2004,1997,,2021/12/25,to-read,to-read (#39),to-read,,,,0,0
242068,The Individual In A Social World: Essays and Experiments,Stanley Milgram,"Milgram, Stanley","John Sabini, Maury Silver","=""0070419361""","=""9780070419360""",0,4.28,McGraw-Hill Humanities/Social Sciences/Languages,Paperback,320,1992,1977,,2021/12/25,to-read,to-read (#38),to-read,,,,0,0
818170,Six Degrees: The Science of a Connected Age,Duncan J. Watts,"Watts, Duncan J.",,"=""0393325423""","=""9780393325423""",0,3.89,W. W. Norton & Company,Paperback,384,2004,2003,,2021/12/25,to-read,to-read (#37),to-read,,,,0,0
373169,"Small Worlds: The Dynamics of Networks between Order and Randomness (Princeton Studies in Complexity, 36)",Duncan J. Watts,"Watts, Duncan J.",,"=""0691117047""","=""9780691117041""",0,3.89,Princeton University Press,Paperback,280,2003,1999,,2021/12/25,to-read,to-read (#36),to-read,,,,0,0
116164,"Nonlinear Dynamics and Chaos: With Applications to Physics, Biology, Chemistry, and Engineering",Steven H. Strogatz,"Strogatz, Steven H.",,"=""0738204536""","=""9780738204536""",0,4.37,CRC Press,Paperback,497,2000,1994,,2021/12/25,to-read,to-read (#35),to-read,,,,0,0
154293,"Linked: How Everything Is Connected to Everything Else and What It Means for Business, Science, and Everyday Life",Albert-László Barabási,"Barabási, Albert-László",,"=""0452284392""","=""9780452284395""",0,3.94,Plume,Paperback,304,2003,2002,,2021/12/25,to-read,to-read (#34),to-read,,,,0,0
27263125,"Forex Trading: The Basics Explained in Simple Terms (Bonus System incl. videos): The Bonus System includes his personal indicators in MT4/MT5 and TradingView ... Stocks, Currency Trading, Bitcoin Book 1)",Jim Brown,"Brown, Jim",,"=""""","=""""",0,4.04,,Kindle Edition,91,2015,,,2021/12/07,to-read,to-read (#33),to-read,,,,0,0
746936,Margin of Safety: Risk-Averse Value Investing Strategies for the Thoughtful Investor,Seth A. Klarman,"Klarman, Seth A.",,"=""0887305105""","=""9780887305108""",0,4.34,HarperCollins,Hardcover,248,1991,1991,,2021/12/07,to-read,to-read (#32),to-read,,,,0,0
51326901,Dominando O Ciclo De Mercado: Aprenda a reconhecer padrões para investir com segurança (Portuguese Edition),Howard  Marks,"Marks, Howard",,"=""""","=""""",0,4.46,Alta Books,Kindle Edition,379,2020,,,2021/12/07,to-read,to-read (#31),to-read,,,,0,0
10454418,The Most Important Thing: Uncommon Sense for the Thoughtful Investor (Columbia Business School Publishing),Howard  Marks,"Marks, Howard",,"=""0231153686""","=""9780231153683""",0,4.31,Columbia Business School Publishing,Hardcover,200,2011,2011,,2021/12/07,to-read,to-read (#30),to-read,,,,0,0
1176121,Zurich Axioms,Max Gunther,"Gunther, Max",,"=""0285630954""","=""9780285630956""",0,3.97,Souvenir Press,Paperback,,1992,1985,,2021/12/07,,,read,,,,1,0
50157837,The Price of Tomorrow: Why Deflation is the Key to an Abundant Future,Jeff Booth,"Booth, Jeff",,"=""1999257405""","=""9781999257408""",0,4.12,Stanley Press,Paperback,232,2020,2020,,2021/12/07,to-read,to-read (#29),to-read,,,,0,0
35857970,Design Systems: A practical guide to creating design languages for digital products,Alla Kholmatova,"Kholmatova, Alla",,"=""""","=""""",0,4.15,Smashing Magazine,Paperback,288,2017,,,2021/11/07,to-read,to-read (#28),to-read,,,,0,0
26535513,Storytelling with Data: A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,"Knaflic, Cole Nussbaumer",,"=""1119002257""","=""9781119002253""",0,4.40,Wiley,Paperback,288,2015,2015,,2021/09/19,currently-reading,currently-reading (#5),currently-reading,,,,1,0
17744,"The Visual Display of Quantitative Information, 2nd Ed.",Edward R. Tufte,"Tufte, Edward R.",,"=""0961392142""","=""9780961392147""",0,4.39,Graphics Press,Hardcover,200,2001,1983,,2021/09/19,to-read,to-read (#27),to-read,,,,0,0
