Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13530973,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400067820""","=""9781400067824""",0,4.10,Random House,Hardcover,426,2012,2012,,2021/08/30,currently-reading,currently-reading (#2),currently-reading,,,,1,0
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas","David Chandler, Микола Климчук","=""""","=""""",0,3.95,Random House ,Hardcover,366,2007,2007,,2021/08/30,currently-reading,currently-reading (#1),currently-reading,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",0,4.38,Avery,Kindle Edition,319,2018,2018,,2021/08/30,"to-read, backlog","to-read (#9), backlog (#2)",to-read,,,,0,0
25159550,An Everyone Culture: Becoming a Deliberately Developmental Organization,Robert Kegan,"Kegan, Robert","Lisa Laskow Lahey, Matthew L Miller, Andy Fleming, Deborah Helsing","=""1625278624""","=""9781625278623""",0,3.98,Harvard Business Review Press,Hardcover,336,2016,2016,,2021/08/30,"to-read, backlog","to-read (#8), backlog (#1)",to-read,,,,0,0
33631732,Jeff mais Leve que o ar,Gilmar Pupo,"Pupo, Gilmar",,"=""""","=""""",0,5.00,,,300,,,2021/08/30,2017/01/02,,,read,,,,1,0
5938609,Leading on Empty: Refilling Your Tank and Renewing Your Passion,Wayne Cordeiro,"Cordeiro, Wayne",,"=""0764203509""","=""9780764203503""",0,4.24,Bethany House,Hardcover,224,2009,2009,2021/08/30,2016/10/24,,,read,,,,1,0
1832607,The Divine Mentor: Growing Your Faith as You Sit at the Feet of the Savior,Wayne Cordeiro,"Cordeiro, Wayne",,"=""0764203495""","=""9780764203497""",0,4.33,Bethany House,Hardcover,240,2007,2007,2021/08/30,2017/03/20,,,read,,,,1,0
867247,A Book of Five Rings: The Classic Guide to Strategy,Miyamoto Musashi,"Musashi, Miyamoto","Victor Harris, Lew Hartman","=""0517415283""","=""9780517415283""",0,3.99,Gramercy,Hardcover,192,1988,1645,2021/08/30,2017/03/20,,,read,,,,1,0
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",5,4.20,Gollancz,Paperback,515,2007,2006,2017/11/21,2017/02/17,,,read,,,,1,0
251912,"Vagabond, Vol. 1",Takehiko Inoue,"Inoue, Takehiko",,"=""1591160340""","=""9781591160342""",0,4.44,VIZ Media LLC,Paperback,200,2002,1999,2017/11/21,2017/03/20,,,read,,,,1,0
22237161,The Sellout,Paul Beatty,"Beatty, Paul",,"=""0374260508""","=""9780374260507""",0,3.75,"Farrar, Straus and Giroux",Hardcover,289,2015,2015,,2017/02/23,to-read,to-read (#7),to-read,,,,0,0
2836109,"Erak's Ransom (Ranger's Apprentice, #7)",John Flanagan,"Flanagan, John",,"=""1741662095""","=""9781741662092""",0,4.33,Random House Australia,Paperback,441,2007,2007,2017/02/17,2016/10/24,,,read,,,,1,0
12070846,Mile 81,Stephen King,"King, Stephen",,"=""1451665601""","=""9781451665604""",4,3.66,Scribner,ebook,80,2011,2011,2017/02/17,2017/02/17,,,read,,,,1,0
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",5,4.47,Tor Books,Hardcover,537,2006,2006,2017/02/17,2016/12/29,,,read,,,,1,0
10644930,11/22/63,Stephen King,"King, Stephen",,"=""1451627289""","=""9781451627282""",5,4.33,Scribner,Hardcover,849,2011,2011,,2017/02/10,,,read,,,,1,0
11298,"A Wild Sheep Chase (The Rat, #3)",Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""037571894X""","=""9780375718946""",4,3.94,Vintage,Paperback,353,2002,1982,2016/12/29,2016/10/24,,,read,,,,1,0
7286699,The Thing Beneath the Bed (The Adventures of the Princess and Mr. Whiffle #1),Patrick Rothfuss,"Rothfuss, Patrick",Nate  Taylor,"=""1596063130""","=""9781596063136""",0,4.28,Subterranean,Hardcover,72,2010,2010,,2016/12/29,to-read,to-read (#6),to-read,,,,0,0
21535271,"The Slow Regard of Silent Things (The Kingkiller Chronicle, #2.5)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756410436""","=""9780756410438""",2,3.89,DAW Books,Hardcover,159,2014,2014,,2016/12/29,,,read,,,,1,0
